Aidan_A	00:04.39
Aidan_A01	00:24.24
Aidan_A02	00:16.00
Aidan_A03	00:18.61
Aidan_A04	00:05.88
Aidan_A05	00:16.84
Aidan_A06	00:28.48
Aidan_A07	00:28.20
Aidan_A08	00:59.80
Aidan_A09	00:25.88
Aidan_A10	00:08.99
Aidan_A11	00:19.25
Aidan_A12	00:18.97
Aidan_A13	00:31.50
Aidan_A14	00:21.14
Aidan_A15	00:24.93
Aidan_B01	00:25.98
Aidan_B02	00:27.08
Aidan_B03	00:26.95
Aidan_B04	00:12.90
Aidan_B05	00:25.93
Aidan_B06	00:27.25
Aidan_B07	00:30.19
Aidan_B08	01:41.95
Aidan_B09	00:13.47
Aidan_B10	00:37.27
Aidan_B11	00:30.89
Aidan_B12	00:45.36
Aidan_B13	00:25.65
Aidan_B14	00:32.72
Aidan_B15	00:40.16
Aidan_C01	00:29.23
Aidan_C02	00:42.33
Aidan_C03	00:12.73
Aidan_C04	00:39.62
Aidan_C05	01:53.61
Aidan_C06	00:55.34
Aidan_C07	00:40.21
Aidan_C08	00:26.91
Aidan_C09	00:50.05
Aidan_C10	00:14.94
Aidan_C11	00:49.96
Aidan_C12	00:34.52
Aidan_C13	00:44.74
Aidan_C14	01:55.82
Aidan_C15	00:50.02
Aidan_D01	02:39.96
Aidan_D02	00:56.19
Aidan_D03	00:15.93
Aidan_D04	00:52.31
Aidan_D05	01:09:98
Aidan_D06	01:10.07
Aidan_D07	00:57.18
Aidan_D08	00:52.37
Aidan_D09	00:45.91
Aidan_D10	00:57.30
Aidan_D11	00:14.57
Aidan_D12	00:41.92
Aidan_D13	01:10.63
Aidan_D14	03:05:29
Aidan_D15	08:07:59
Aidan_E01	00:46.39
Aidan_E02	04:50.05
Aidan_E03	05:43.08
Aidan_E04	02:03:09
Aidan_E05	1:06:10.98
